id,name,references,strong,close,total
b22203060,Corporal A. W. Roeszler,1,0,0,0
b22203084,Sapper W. C. Thomas,1,2,10,12
b22203096,Private Nicholas Barbery,2,2,0,2
b22203102,Private Frank Quinlivan,2,1,0,1
b22203114,Sapper Ralph Tester,3,3,2,5
b22203138,Private Thomas Noble,1,1,1,2
b2220314x,Lieutenant V. W. Lampard,2,2,1,3
b22203151,Private Herbert Blinman,1,1,0,1
b22203187,Private Thomas James Evans,2,2,3,5
b22203217,Private Eliezer Rabinovitch,3,1,0,1
b22203229,Private G. A. Sampson,2,1,4,5
b22207260,Sergeant-Major George G. Grandison,3,1,0,1
b22207272,Lance-Corporal L. A. V. Moller,3,4,3,7
b22207314,Gunner Sidney J. Dutton,3,1,1,2
b2220734x,Private Shirley V. W. Marriott,3,3,4,7
b22207363,Private P. C Roberts,3,3,18,21
b22207375,Private T. Cass,1,0,0,0
b22207387,Gunner William E. Richter,3,2,2,4
b22207405,Private L. W. Schrader,2,1,0,1
b22207429,Private Frank S. Wise,4,2,16,18
b22207545,Driver Victor Miller,1,1,1,2
b22207570,Lance-Corporal Harold Edward Pitt,2,2,2,4
b22207594,Private A. Kemp,3,3,2,5
b22207624,Lieutenant Cecil N. Patterson,2,1,5,6
b22207661,Private Archie Leopold Ginn,2,3,0,3
b22207715,Lance-Corporal Roy Stephen Kenyon,2,2,0,2
b22207739,Private Francis Laurence Donnelly,1,1,0,1
b22207740,Private Robert Knill,2,3,0,3
b22207764,Private Henry Joseph Sinclair,2,1,2,3
b22208112,Sergeant Albert Lionel Paterson,1,1,0,1
b22208124,Sergeant A. J. Lammey,3,2,0,2
b22208148,Private Thomas Moore,1,1,0,1
b2220815x,Gunner Alfred W. Hanson,3,2,8,10
b22208173,Private Clyde Whibley,2,2,1,3
b22208197,Driver William E. Gard,1,1,1,2
b22208203,Private Michael Davitt Carmody,2,1,1,2
b22208215,Private H. E. Miller,3,3,20,23
b22208227,Private Raymond Bousquet,1,1,0,1
b22208239,Sapper William Stocks Heithersay,2,3,1,4
b22208276,Private W. Goode,1,1,1,2
b22208288,Corporal F. D. Stillwell,1,1,0,1
b2220829x,Sapper Cyril Rushton,2,1,0,1
b22208306,Corporal Frank P. O'Neill,1,1,0,1
b2220832x,Sergeant Sandford R. Delbridge,2,3,0,3
b22208331,Private G. Leslie Northcott,2,1,0,1
b22208355,Second-Lieutenant Christopher Richard Mahony,2,1,0,1
b22208367,Private Frank Thompson,2,2,7,9
b22208379,Private G. A. Dowle,1,1,0,1
b22208380, Lieutenant Leslie Varley Duxbury,2,2,0,2
b22208392,Private Kenneth Warland,1,1,0,1
b22208409,Private F. J. Oswald,2,3,4,7
b22208410,Private Frederick Sydney Spargo,3,1,0,1
b22208422,Corporal Ernest Kirkbright,2,1,0,1
b22208434,Lance-Corporal Stanley Klauer,3,2,0,2
b22208446,Private Sidney A. Watherston,1,1,0,1
b22208458,Captain Harold Dench,1,1,0,1
b2220846x,Sergeant Richard Hart,1,1,1,2
b22209189,Private H. H. Richardson,2,2,3,5
b22209190,Captain R. L. Manuel,1,1,0,1
b22209219,Lieutenant H. V. Conrad,2,2,1,3
b22209220,Private G. H. Best,2,2,63,65
b22209232,Private S. R. Mackereth,1,2,0,2
b22209244,Lance-Corporal F. D. Nelson,3,1,7,8
b22209256,Driver Albert Martin Nicholson,2,1,2,3
b22209268,Private Percy J. Opie,3,2,4,6
b2220927x,Private John Cuddeford Randell,2,2,0,2
b22209281,Private A. F. Skuse,1,2,2,4
b22209293,Private S. G. Smith,1,4,20,24
b2220930x,Major J. C. Wells,2,2,10,12
b22209323,Lieutenant John Ainsworth Horrocks,3,1,1,2
b22209359,Second Lieutenant Francis Degenhardt,2,2,1,3
b22209426,Gunner L. G. Healy,2,3,1,4
b22209438,Gunner W. A. H. Jenkins,2,3,6,9
b2220944x,Private Frank R. S. Morrison,2,2,2,4
b22209451,Corporal R. W. Nenke,2,2,0,2
b22209463,Private Paul Prisk,3,2,1,3
b22209475,Corporal A. Smart,2,2,2,4
b22209487,Private Charles Walton,3,1,2,3
b22209499,Private H. Arthur,1,2,8,10
b22209505,Private Herbert J. Bampton,2,2,0,2
b22209517,Private Allan Curtin,2,2,2,4
b22209529,Private Bert Dew,2,2,4,6
b22209530,Private Reginald Gluyas,2,2,2,4
b22209542,Private Frank Thomas Highman,1,1,1,2
b22209554,Private Frank Lear,2,2,1,3
b22209566,Corporal R. A. Peters,2,3,11,14
b22209578,Lieutenant Eric Mervyn Roach,2,2,1,3
b22220185,Lance-Corporal Allan S. Radford,2,1,1,2
b22220227,Private Wilfred Stuart Smith,3,3,22,25
b22220252,Private W. G. Sparks,2,2,0,2
b22227015,Harold William Wiedemann,1,0,0,0
b22227040,Serviceman Tucker,1,0,1,1
b22227106,Private Anson Maxwell Shaw,1,1,1,2
b2222712x,Corporal Francis Middleton Shaw,1,2,0,2
b22227180,Driver Alexander L. Carraill,3,1,0,1
b22227209,Private C. E. Johnson,2,2,7,9
b22824339,E. A. Payne,1,1,1,2
b22825757,Captain W.G. Graham,1,1,3,4
b22832300,Lieutenant Walter Hosking,2,1,4,5
b22832336,Private William Ray Jaques,2,1,1,2
b22832373,Corporal Arthur Mervyn Robin,1,1,1,2
b22832427,Edward Harrington,2,2,1,3
b22832439,Lance-Corporal Tom  Knight,1,2,0,2
b22832488,Lance Corporal Gordon Simmons,1,2,0,2
b22833675,Corporal Harry T. Parker,1,1,2,3
b22833699,Private Bert Kelly,1,2,4,6
b22833730,Private Reginald Leonard Tucker,1,1,0,1
b22833754,Private Arthur Taylor,3,3,14,17
b22834369,Private Reynold Farrell,2,1,3,4
b22911157,Private Bernhardt (sic) Marks,1,1,2,3
b22911169,Private Frank James,2,2,28,30
b22911170,Corporal A.J. Edwards,1,1,2,3
b22911182,Lieutenant A.H. Fraser,1,1,1,2
b22911194,Private A. Marshall,1,1,6,7
b22911200,Alfred Liersch,1,1,0,1
b22911212,Horace W. Fordham,1,1,1,2
b22911224,Private John Burke,1,1,1,2
b22911236,Samuel Cameron,1,1,0,1
b22911248,Captain Allan O'Halloran Wright,1,1,1,2
b2291125x,Ernest Hill,1,1,0,1
b22911261,Colonel H. N. MacLaurin,1,1,1,2
b22911273,Lieutenant-Colonel Lancelot Fox Clarke,1,1,0,1
b22911285,Lieutenant-Colonel Ashley (sic) John Onslow Thompson,1,1,2,3
b22911297,Major Edward Oldham,2,2,2,4
b22911303,Major Sydney Beresford Robertson,1,1,3,4
b22911315,Private F. J. Pinkney,2,2,0,2
b22911327,Captain Keith Eddowes Green,1,1,5,6
b22911339,Captain Sydney Raymond Hall,1,1,11,12
b22911340,Captain W. L. Strachan,1,1,0,1
b22911352,Lieutenant Gordon Munro,3,3,4,7
b22911364,Lieutenant Albert John Byrne,1,1,0,1
b22911376,Lieutenant Robert Hooper,1,1,3,4
b22911388,Private W. H. (William Henry) Vick,1,3,0,3
b2291139x,Private Henry Dawson Tutt,1,1,2,3
b22911406,Private Ernest F. Martini,2,2,1,3
b22911418,Lieutenant Eric Wilkes Talbot Smith,1,3,5,8
b2291142x,Private T. A. Whyte,1,2,0,2
b22911431,Ross Blyth Jacob,1,1,0,1
b22911443,Lieutenant A. Henderson,1,1,1,2
b22911455,Private Colin Bayly,1,1,0,1
b22911467,Private Percy W. Venning,1,1,0,1
b22911479,Private M. H. G. Lithgow,2,2,1,3
b22911492,Corporal W. G. Bell,1,0,0,0
b22911509,Private Coppins,1,1,1,2
b22911510,Private R. Blakeney Young,2,3,53,56
b22911522,Private Jonathon Albert James,2,10,22,32
b22911534,Lieutenant E. Bruns,1,1,1,2
b22911546,Sergeant Ivor Macgillivray,2,1,2,3
b2291156x,Private E. Shelley,2,2,1,3
b22911571,Bugler T. S. Gordon,2,2,20,22
b22911583,Private R. Ey,1,1,5,6
b22911595,Thomas Radford Sage,1,0,0,0
b22911601,Corporal Joseph Boucher,1,2,0,2
b22911613,Private Raymond Roy Palmer,2,2,6,8
b22911625,William Webb,2,2,2,4
b22911637,Private George A. Lieschke,2,2,0,2
b22911649,Private E. Watherston,1,2,0,2
b22911650,General William Throsby Bridges,1,1,2,3
b22911662,Corporal Roy Pickering,1,1,0,1
b22911674,Private R. A. Aikman,1,1,0,1
b22911686,Lieutenant Eric James Sexton,1,1,0,1
b22911698,Surgeon-Captain L.W. Jeffries,1,1,0,1
b22911704,Driver C. H. St. Toovey,1,1,0,1
b22911716,Lieutenant W. Buchanan Kerr,1,1,1,2
b22911728,Private H. Lee-Thomas,1,1,0,1
b2291173x,Sergeant J. C. Moller,1,1,0,1
b22911741,Private H. H. Stockley,1,1,0,1
b22911753,Private H. B. Lambert,1,1,3,4
b22911765,Captain G. E. Redburg,1,1,0,1
b22911777,Private M. Grey,1,1,7,8
b22911789,Private D. Brooks,1,1,1,2
b22911790,Regimental Sergeant-Major Walter Reginald Olifent,2,2,1,3
b22911807,Sergeant A. M. J. Tucker,1,1,1,2
b22911819,Private W. H. Moyse,1,2,0,2
b22911832,Captain J. Miller,1,1,5,6
b22911844,Private G. H. Castles,1,2,4,6
b22911856,Private Donald H. Brooke,1,1,1,2
b22911868,Private F. E. Manning,1,2,1,3
b2291187x,Major M. F. Beevor,1,1,0,1
b22911881,Private Percy A. Mackay,1,3,1,4
b22911893,Private Allan Halstead,1,1,1,2
b2291190x,Private J. Smart,1,1,9,10
b22911911,Private B. W. Westley,1,2,0,2
b22911923,Private James D. Morrison,1,1,1,2
b22911935,Private C. H. Barnes,1,2,4,6
b22911947,Private L. S. Newton,1,1,1,2
b22911959,Private R. W. Armour,1,1,0,1
b22911960,Private Bernard  McGowan,1,2,0,2
b22911972,Private Benjamin Westley,1,2,0,2
b22911984,Private C. H. Barnes,1,2,4,6
b22911996,Private M. J. McInerney,1,0,0,0
b22912009,Private G. W. Edmonds,1,1,1,2
b22912010,Private Rex Weldon (sic),1,0,1,1
b22912022,Private A. J. McKay,1,2,4,6
b22912034,Lance-Corporal Ernest Jones,1,4,4,8
b22912046,Major Charles Eric Clough,1,1,1,2
b22912058,Private J. Morrison,1,2,4,6
b22912071,Private Raymond Hill,1,2,8,10
b22912083,Private H. C. Gehlken,1,2,0,2
b22912095,Captain A. Possingham,2,2,0,2
b22912101,Private Spurgeon Watson,2,3,7,10
b22912113,Private Arthur Thomas Elphick,1,2,1,3
b22912125,Signaller Robert John Irvine Redpath,1,1,0,1
b22912137,Private Richard Row,1,3,0,3
b22912149,Private William Charles Crook,1,3,0,3
b22912150,Sergeant R. (Dick) Hogben,2,2,0,2
b22912162,Corporal C. W. Huf,1,1,0,1
b22912174,Lance-Corporal A. (Bert) Binning,2,1,1,2
b22912186,Private Alfred J. Gray,1,2,5,7
b22912198,Sergeant W. H. L. Evans,1,1,8,9
b22912204,Private A. Barber,1,1,0,1
b22912216,Private N. McMahon,1,1,1,2
b22912228,Private J. P. H. Liddiard,1,1,0,1
b2291223x,Private N. R. Watts,1,1,3,4
b22912241,Captain Herbert H. Hunter,1,1,6,7
b22912253,John Brook Brown,1,1,4,5
b22912265,Private Ernest Martin (sic) Worden,1,1,0,1
b22912277,Sergeant Gordon Taylor,1,2,9,11
b22912289,Private J. H. Gaffney,1,1,1,2
b22912290,Private G. E. A. Baker,1,2,5,7
b22912307,Major Baker,1,2,3,5
b22912319,Sergeant Cleveland G. Edwards,1,1,6,7
b22912320,Corporal L. K. T. Fry,1,1,4,5
b22912332,Private L. R. Bishop,1,1,4,5
b22912344,Private T. Cook,1,2,7,9
b22912356,Private Thomas Ritchie,1,1,0,1
b22912368,Private H. Bradley,1,1,3,4
b2291237x,Private B. Q. Simons,1,1,2,3
b22912381,Joseph Hermann Weinrich,1,1,0,1
b22912393,Jack Camp,1,1,0,1
b2291240x,Corporal Will. A. Fry,1,2,2,4
b22912411,F. W. (Fred) Jones,1,1,20,21
b22912423,William Weaver,2,2,0,2
b22912435,Arthur Shorney,1,1,0,1
b22912447,Private H. S. (Ping) Last,2,3,109,112
b22912459,Private Mick Hannaford,2,2,2,4
b22912460,Private Fred Tonkin,2,1,0,1
b22912472,Private Alexander C. Cranston,1,1,2,3
b22912484,Private J. W. Usher,1,1,1,2
b22912496,Lance-Corporal Victor Paul Odgers,1,1,0,1
b22912502,Private F. L. P. A. Kaerger,1,1,0,1
b22912514,Corporal G. A. Clayfield,1,1,0,1
b22912526,Private Roy G. Garvie,1,1,2,3
b22912538,Private M. W. C. Lyons,1,1,2,3
b2291254x,Private W. J. Sheldrake,1,1,1,2
b22912563,Robert R. Reubenicht,1,2,0,2
b22912575,Lance Sergeant Frederick Taylor,1,3,8,11
b22912587,Captain A. C. V. Melbourne,1,4,38,42
b22912599,Private Oscar (Socky) Krummel,1,1,1,2
b22912605,Private Arthur Smart,1,1,0,1
b22912617,Private Roy Chilman,1,1,0,1
b22912629,Private Ambrose Pearce,2,3,7,10
b22912630,Private Stanislaus McGuire,1,1,0,1
b22912642,Private E. H. Jenzen,1,1,1,2
b22912654,Christopher Keith Robinson,1,0,1,1
b22912666,William Arthur Snow,1,1,0,1
b22912678,James Till,1,1,4,5
b2291268x,Private Walter J. W. Patrick,2,4,4,8
b22912691,Gunner Arthur Goddard,1,1,2,3
b22912708,Private D. L. (Roy) Watson,2,4,11,15
b2291271x,Private Allen Stuart McArthur,3,2,1,3
b22912721,Private R. Whitehead,2,2,1,3
b22912733,Private Frank Evans,1,1,6,7
b22912745,Sergeant Douglas Scott,1,2,4,6
b22912757,Private R. F. (Reginald Francis) McGuire,2,2,2,4
b22912769,Lieutenant Trevor Owen Smyth,1,1,1,2
b22912782,Private T. Collins,1,1,10,11
b22912794,Private William Thomas Adams,1,2,2,4
b22912800,Lance-Corporal George Bland,1,1,1,2
b22912812,Private Harold Michell,2,2,0,2
b22912824,Lieutenant Halcombe Brock,1,2,0,2
b22912836,Sergeant T. A. Spritch,1,2,1,3
b22912848,Lance Corporal Philip de Quetteville Robin,1,2,0,2
b2291285x,Corporal Thomas Shepley,1,2,0,2
b22912861,Lance Corporal John Peter (Jack) Arnold,1,2,2,4
b22912885,Corporal J. A. Hay,1,1,15,16
b22912897,Trooper E. Bell,1,1,13,14
b22912903,Donovan James Miller,1,1,2,3
b22912915,Edwin Allen Bignell,1,1,0,1
b22912927,Private Astley Ford Pilkington,1,1,0,1
b22912939,Eric Ralph (Dick) Goode,2,2,1,3
b22912940,Hurtle Charles Shaw,2,2,2,4
b22912952,Sergeant Wilfred F. H. (Frank) Lodge,2,2,11,13
b22912964,Private George Henry Seabrook,2,2,0,2
b22912976,Private John Albert Adams,1,1,7,8
b22912988,Alfred Crowther,1,1,0,1
b2291299x,Sergeant Edgar De Lautour,1,0,0,0
b22913002,Francis Herbert Stokes,1,1,0,1
b22913014,Clarence Brown,1,2,0,2
b22913026,Sergeant Charles Hunt,1,2,2,4
b22913038,Dave Simcock,1,1,0,1
b2291304x,William Edward Mansom,1,1,2,3
b22913051,Quartermaster Sergeant J. J. Medley,2,3,1,4
b22913063,Captain B. Flemming,1,1,0,1
b22913075,Private Elford Athol Payne,2,2,4,6
b22913087,Captain Robert Bage,1,1,1,2
b22913099,Private W. J. Miller,1,2,10,12
b22913105,Lance Corporal Day,1,2,10,12
b22913117,Private Cyril Smith,3,4,42,46
b22913129,Victor F. Hunt,3,2,25,27
b22913130,Private H. A. Blackwell,2,1,0,1
b22913142,Bugler Fred J. Broughton,1,2,7,9
b22913154,Private George (Jock) Carter,3,6,9,15
b22913166,Private A. Bax,1,1,1,2
b22913178,Lance-Corporal Robert McCredie,1,1,0,1
b2291318x,Quartermaster Sergeant John A. Elliot,1,1,4,5
b22913191,Private J. Adams,1,1,7,8
b22913208,Sergeant Douglas Harmer Ridgway,1,1,0,1
b2291321x,Private S. J. Watson,1,1,5,6
b22913221,Captain Louis Gordon Holmes,3,3,6,9
b22913233,Private J. Winter,1,1,13,14
b22913245,Private Roy Olifent,1,1,0,1
b22913257,Private C. E. Hurst,1,1,5,6
b22913269,Private E. J. Fraser,1,2,0,2
b22913270,Private H. L. Fleetwood,1,1,0,1
b22913282,Private John Holden,2,2,2,4
b22913294,Private Victor Opie,1,1,0,1
b22913300,Private Eric M. Roach,1,1,4,5
b22913312,Private K. D. Gordon,2,3,15,18
b22913324,Private Cyril Batchelor,1,2,0,2
b22913336,Lance Corporal F. L. Dashwood,1,1,0,1
b22913348,Pioneer A. R. Churton,1,1,0,1
b2291335x,Private P. W. Foster,1,1,4,5
b22913361,Private Harry Worthley,1,1,0,1
b22913373,Private George Bitmead,1,1,0,1
b22913385,Private G. F. Gray,1,1,5,6
b22913397,Private Charles H. Allen,5,5,43,48
b22913403,Driver A. Davey,1,1,2,3
b22913415,Private D. Lewis,1,1,7,8
b22913439,Sergeant Percival Vernon Smily,1,0,2,2
b22913440,Corporal Walter Seaman,2,3,2,5
b22913452,Sergeant Ballantyne,1,2,0,2
b22913464,Reverend Albert G. Stapleton,1,1,1,2
b22913476,Private Thomas George William Palmer,1,2,9,11
b22913488,Private James W. Plummer,1,2,1,3
b2291349x,Private John Murphy,1,1,7,8
b22913506,Private Victor Lapthorne,2,1,1,2
b22913518,Private Charles Stanbridge,3,3,1,4
b2291352x,Lance Corporal Fred Reid,2,2,4,6
b22913531,Private Albert Cramer,1,1,0,1
b22913543,Sergeant Anthony Basil McKellar Hall,3,3,19,22
b22913555,Arthur Gillett,2,2,0,2
b22913567,Corporal C. Davidson,1,2,5,7
b22913579,Private Joseph Gilbert,2,2,3,5
b22913580,Driver Reginald Hutton,2,2,0,2
b22913592,Private O.T. Mercer,2,2,1,3
b22913609,Private D. East,1,1,17,18
b22913610,Private J. R. Washington,2,3,9,12
b22913622,Private E. J. McMurray,1,1,0,1
b22913634,Private A. L. Birchett,1,1,0,1
b22913646,Private D. P. O'Leary,1,1,1,2
b22913658,Private George Cullen,2,2,1,3
b2291366x,Private James J. Sheedy,2,2,2,4
b22913671,Private Walter H. Mara,1,1,0,1
b22913683,Private James Cowie,1,1,0,1
b22913695,Thomas Francis (Frank) Weathers,1,1,0,1
b22913701,Private F. Pinkney,2,2,0,2
b22913713,Private Percival  Smith,2,2,24,26
b22913725,Ernest Jackson,2,2,0,2
b22913737,Major Alfred Edward Cook,2,2,3,5
b22913749,Private Oscar E. Johnson,1,2,6,8
b22913750,Sergeant C. H. Burne,1,1,1,2
b22913762,Private A. C. Dunhill,1,2,0,2
b22913774,Honor for a South Australian,2,4,66,70
b22913786,Signaller Arthur Hutton,1,1,0,1
b22913798,Private Clarence C. Johnson,1,1,6,7
b22913804,Private G. A. Gibbons,1,1,0,1
b22913816,Private Percy George (Bob) Marriott,2,3,1,4
b22913828,Private P. Cusack,1,0,0,0
b2291383x,Sergeant Major James J. Lee,1,1,1,2
b22913841,Private A. Johnson,1,2,1,3
b22913853,Private James D. Ward Proctor,1,1,0,1
b22913877,Private B. T. (Benjamin Thomas) Thorpe,2,2,1,3
b22913889,Lance Corporal Joseph Brown,2,2,10,12
b22913890,Private E. Moore,1,1,4,5
b22913907,Private W. A. Graham,2,2,12,14
b22913919,Private W. L. East,1,1,16,17
b22913920,Private Sydney T. Witcomb,2,1,0,1
b22913932,Private Harold Boyce,1,1,1,2
b22913944,Private C. H. Wilkins,2,2,1,3
b22913956,Lieutenant P. J. Patterson,1,2,3,5
b22913968,Private James Lewis,2,3,14,17
b2291397x,Lance Corporal Albert W. Paish,1,1,1,2
b22913981,Private Douglas Austin Byard,1,2,0,2
b22913993,Private Gilbert Robertson,1,1,3,4
b22914006,E. Edmonds (sic),1,0,1,1
b22914018,Private R. L. Roads,1,0,5,5
b2291402x,Lance Corporal Horace Vincent Phillis,1,1,1,2
b22914031,Hon. J. V. O'Loghlin enlists,1,1,0,1
b22914043,Frank Patten Watherston,1,0,0,0
b22914055,Private Malcolm Simpson,2,1,5,6
b22914067,Private George Davis,1,4,2,6
b22914079,Lieutenant Sommerville,2,2,0,2
b22914080,Private Leslie Wilson,1,1,6,7
b22914092,Private C. Lane,1,1,4,5
b22914109,Thomas Makin,1,0,2,2
b22914110,Major William Trant Chambers,1,1,3,4
b22914122,Private J. C. Spratt,1,0,0,0
b22914134,Harry (Bert) Davis,1,1,2,3
b22914146,Private Lyn Lewis,1,1,8,9
b22914158,Private Alexander Hawson,3,3,1,4
b2291416x,Private Harold Foreman,2,1,1,2
b22914171,Private F.N. Schumacher,1,0,0,0
b22914183,Sergeant G. Timbrell,1,1,0,1
b22914195,Wounded three times,1,1,18,19
b22914201,Patriotic Lameroo,1,1,1,2
b22914213,Major Baker's Praise for the Boys,1,1,1,2
b22914225,Lance Corporal J. J. Joyce,1,1,5,6
b22914237,Francis Cyril (Frank) Carey,1,1,2,3
b22914249,Sergeant Douglas Adams,1,4,1,5
b22914250,George Brady,1,1,1,2
b22914262,Private Frederick Joseph Raggatt,2,2,2,4
b22914274,Private Glenton Stuart Victor Morphett,2,2,7,9
b22914286,Corporal Avery B. Dickinson,1,2,1,3
b22914298,Private Jack Bruce,2,3,8,11
b22914304,Private William Gribble,2,2,1,3
b22914316,Private Ronald Harry Tuck,2,2,1,3
b22914328,Private George Long,1,1,19,20
b2291433x,Lance Corporal Richard Thwaites,1,1,1,2
b22914341,Sergeant John Hennessy,2,3,1,4
b22914353,Sapper Edmunds,1,1,0,1
b22914365,Private C. S. McCullough,1,1,0,1
b22914377,Private A. C. Cheape,1,1,0,1
b22914389,Mr Denny enlists,1,1,0,1
b22914390,George Pemberton Stewart,1,1,5,6
b22914407,Private Harold Rainey,1,2,1,3
b22914419,Corporal Robert (Bob) Hockridge,1,2,0,2
b22914420,Private Sydney Holt,1,2,1,3
b22914432,Private Hedley  Flower,1,2,0,2
b22914444,Private Patrick Thomas Pyne,1,2,0,2
b22914456,Lieutenant Hedley E. (Elbert) Cullen,2,2,2,4
b22914468,Private Roy S. P. Wyld,1,2,0,2
b2291447x,Private Joseph Gurry,2,3,1,4
b22914481,Sergeant J. L. Gordon,2,1,7,8
b22914493,South Australians connected with the engine-room of the H.M.A.S. Australia,1,1,53,54
b2291450x,Death of Sergeant J. L. Gordon,1,2,6,8
b22914511,Private William Altree,1,1,0,1
b22914523,Captain F. G. Chabrel,1,1,0,1
b22914535,Lieutenant Colonel Frank  Rowell,3,2,1,3
b22914547,Private Leslie Dillon,1,2,1,3
b22914559,Lance Corporal B. Ernest Collins,1,1,4,5
b22914560,Private T. B. Mills,1,2,5,7
b22914572,Private William Strang,2,2,0,2
b22914584,Private E. G. A. (sic) Rogasch,1,1,0,1
b22914596,Second Lieutenant Henry Humphrey Marten,1,1,1,2
b22914602,Captain Leslie Duncan Heming,1,1,0,1
b22914614,Sergeant James Archibald Brakspear Stevenson,2,2,1,3
b22914626,Private Andrew Christian Orr,1,2,0,2
b22914638,Lance Corporal F. B. Kent,1,1,4,5
b2291464x,Private Charles John Falk,2,3,0,3
b22914651,George Rothwell Seager,2,2,0,2
b22914663,William Beaumont Wright,1,0,5,5
b22914675,Private Eric Gordon Clark,1,2,4,6
b22914687,Private Sydney Roe,1,1,2,3
b22914699,Private J. Salter,1,1,0,1
b22914705,Private Joseph Aloysius Rundle,1,1,3,4
b22914717,Private F. N. Drew,1,1,12,13
b22914729,Private Herbert J. Ellis,2,2,10,12
b22914730,Lionel (Len) N. Stephens,1,1,4,5
b22914742,Private W. E. (Walter Ernest) Pugh,1,1,1,2
b22914754,Trooper George Ernest De Mole,1,0,1,1
b22914766,Lieutenant Colonel Albert Miell,1,1,1,2
b22914778,Sergeant Horace Leonard Page,1,1,3,4
b2291478x,Private William Polle,1,1,0,1
b22914791,Sapper Thomas Edison Spurgeon Corry,2,2,0,2
b22914808,Private Charles King,3,3,30,33
b2291481x,Lance Corporal Alex King,3,3,21,24
b22914821,Sergeant Leslie T. Taylor,1,1,7,8
